global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
58,2,7,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
58,2,7,2,1,4,2.149406,1.188605,2.011833,0.06992,0.205734,0.075553
59,2,8,1,2,4,4.956073,26.479328,1.259524,0.083676,0.065681,0.143316
59,2,8,2,1,4,1.815908,0.975312,1.458373,0.078873,0.317203,0.112777
59,2,8,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
59,2,8,0,1,4,16.093449,15.366155,17.648252,0.134,0.1154,0.1563
60,2,9,0,1,4,15.507812,11.93867,12.258372,0.1033,0.0817,0.142
60,2,9,1,2,4,11.882229,6.96445,0.98747,0.093188,0.067866,0.139203
60,2,9,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
60,2,9,2,1,4,2.045488,0.922017,1.439658,0.057143,0.237425,0.105936
61,2,10,1,2,4,18.566525,26.304722,0.886983,0.069409,0.082005,0.174422
61,2,10,2,1,4,1.664286,0.707639,1.424083,0.080583,0.285614,0.121127
61,2,10,0,1,4,15.855577,27.462547,13.319045,0.1025,0.081,0.1843
61,2,10,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
62,2,11,0,1,4,26.340015,29.617222,19.241354,0.1153,0.11,0.158
62,2,11,2,1,4,1.397127,0.827231,1.126497,0.087525,0.291247,0.134909
62,2,11,1,2,4,8.366673,4.238498,1.182317,0.083548,0.103856,0.146015
62,2,11,4,1,4,1e-06,0.0,0.0,1.0,1.0,1.0
63,2,12,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
63,2,12,1,2,4,4.222115,9.620772,1.120796,0.103342,0.081105,0.176992
63,2,12,0,1,4,24.433043,19.841364,10.71338,0.0763,0.0681,0.1772
63,2,12,2,1,4,1.608258,0.792914,1.229151,0.087324,0.299497,0.15674
64,2,13,0,1,4,34.793858,36.32066,8.660363,0.0565,0.0705,0.1576
64,2,13,2,1,4,1.995885,1.199767,1.383494,0.090443,0.299095,0.124447
64,2,13,1,2,4,9.038121,29.220261,1.228207,0.081105,0.08419,0.16144
64,2,13,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
65,2,14,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
65,2,14,0,1,4,33.021076,19.53462,4.731082,0.0809,0.0766,0.178
65,2,14,2,1,4,1.973835,0.732363,1.519215,0.118612,0.34507,0.163581
65,2,14,1,2,4,5.556942,3.138576,1.042213,0.097301,0.091003,0.178535
66,2,15,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
66,2,15,1,2,4,4.365893,3.583355,1.17955,0.103213,0.094473,0.145887
66,2,15,0,1,4,25.895714,23.45042,22.928171,0.0674,0.0828,0.1262
66,2,15,2,1,4,1.587001,1.076906,1.221705,0.097686,0.329678,0.151811
67,2,16,0,1,4,27.612019,37.461563,8.73433,0.0642,0.0618,0.1759
67,2,16,2,1,4,1.112165,0.974889,1.231235,0.14326,0.352917,0.213179
67,2,16,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
67,2,16,1,2,4,4.123451,18.203014,1.222983,0.094602,0.09036,0.197558
68,2,17,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
68,2,17,2,1,4,2.103653,2.436302,1.781145,0.079175,0.339839,0.109658
68,2,17,0,1,4,20.034964,22.6094,18.318649,0.0635,0.0737,0.1037
68,2,17,1,2,4,6.943121,12.158121,4.97376,0.083033,0.091645,0.111054
69,2,18,2,1,4,1.929841,0.999028,1.418521,0.101509,0.334306,0.158451
69,2,18,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
69,2,18,1,2,4,3.522611,29.484196,1.21598,0.065681,0.071208,0.166581
69,2,18,0,1,4,53.329689,23.234671,7.210389,0.0561,0.0705,0.1568
70,2,19,1,2,4,7.406917,27.89245,2.652644,0.097044,0.082005,0.180463
70,2,19,2,1,4,2.091619,0.647127,1.519308,0.101107,0.35674,0.152616
70,2,19,0,1,4,27.013601,66.517212,7.470498,0.0659,0.0611,0.1583
70,2,19,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
71,2,20,1,2,4,3.764909,20.438463,1.025276,0.088946,0.071337,0.143702
71,2,20,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
71,2,20,2,1,4,1.713855,0.771195,1.295407,0.092555,0.369316,0.134809
71,2,20,0,1,4,20.596998,15.461464,14.049243,0.0622,0.0859,0.1377
72,2,21,2,1,4,2.157304,0.855878,1.364658,0.102817,0.32505,0.151811
72,2,21,0,1,4,18.678841,25.041098,13.437549,0.0868,0.0692,0.16
72,2,21,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
72,2,21,1,2,4,3.251046,31.179041,1.057732,0.074422,0.073008,0.163882
73,2,22,1,2,4,1.466762,7.337354,1.046726,0.100771,0.083805,0.168638
73,2,22,2,1,4,1.657499,0.738899,1.49818,0.100201,0.356942,0.158954
73,2,22,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
73,2,22,0,1,4,24.843616,23.125946,6.94101,0.0918,0.0833,0.1705
74,2,23,2,1,4,2.124265,0.948413,2.058179,0.083803,0.330583,0.136318
74,2,23,1,2,4,2.791229,3.797365,1.294461,0.101542,0.08946,0.140231
74,2,23,0,1,4,12.623682,19.814617,10.190626,0.0921,0.0841,0.1405
74,2,23,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
75,2,24,1,2,4,3.072283,23.004395,1.502968,0.064524,0.06054,0.129563
75,2,24,0,1,4,11.113125,11.459795,15.714932,0.0836,0.079,0.1343
75,2,24,2,1,4,1.632297,1.031545,1.397951,0.082495,0.243058,0.134708
75,2,24,4,1,4,0.0,0.0,0.0,1.0,1.0,1.0
76,3,0,0,4,4,1.6e-05,0.000762,0.00033,0.45,0.406897,0.503448
76,3,0,3,2,4,1.303157,1.425591,1.298308,0.093076,0.143719,0.153116
76,3,0,1,3,4,0.636573,0.002775,0.001663,0.10125,0.135312,0.206875
77,3,1,0,4,4,4.3e-05,9.1e-05,2.5e-05,0.4,0.386207,0.77069
