global_round,task_pos,round_in_task,client_id,task_id,block,eps_trained,eps_aggr,eps_global,cknna_trained,cknna_aggr,cknna_global
36,1,10,0,2,4,1.232152,1.367247,0.479644,0.206026,0.237853,0.449906
36,1,10,1,0,4,0.000317,0.000305,0.000391,0.94898,0.840816,0.834694
36,1,10,2,2,4,1.957081,1.676684,1.437089,0.485104,0.2663,0.392674
36,1,10,3,0,4,4e-06,2e-06,2e-06,0.991667,0.991667,1.0
37,1,11,4,2,4,3e-06,4e-06,4e-06,1.0,1.0,1.0
37,1,11,3,0,4,2e-06,4e-06,2e-06,0.991667,0.991667,0.991667
37,1,11,2,2,4,1.551098,2.048682,0.708991,0.42735,0.336142,0.426007
37,1,11,0,2,4,1.20083,1.174742,0.458163,0.231073,0.2371,0.49209
37,1,11,1,0,4,0.001793,0.000227,0.000175,0.946939,0.795918,0.8
38,1,12,4,2,4,3e-06,2e-06,3e-06,1.0,1.0,1.0
38,1,12,1,0,4,0.000351,0.000203,0.000203,0.946939,0.84898,0.855102
38,1,12,2,2,4,1.461811,1.621361,0.994975,0.491453,0.33199,0.476923
38,1,12,0,2,4,1.145884,1.335035,0.36937,0.210358,0.214124,0.526554
38,1,12,3,0,4,3e-06,3e-06,2e-06,0.991667,0.991667,1.0
39,1,13,1,0,4,0.000396,0.000367,0.000388,0.934694,0.804082,0.802041
39,1,13,3,0,4,4e-06,5e-06,4e-06,0.991667,1.0,0.991667
39,1,13,2,2,4,0.591538,1.581006,1.087507,0.484738,0.269719,0.342613
39,1,13,4,2,4,3e-06,3e-06,3e-06,1.0,1.0,1.0
39,1,13,0,2,4,1.322182,1.412444,0.722583,0.204896,0.257062,0.423917
40,1,14,0,2,4,1.154871,1.163632,0.506165,0.234652,0.26629,0.493974
40,1,14,1,0,4,0.000746,0.000926,0.001017,0.918367,0.797959,0.777551
40,1,14,4,2,4,2e-06,2e-06,3e-06,1.0,1.0,1.0
40,1,14,2,2,4,0.94576,1.896007,1.055363,0.427839,0.299756,0.400488
40,1,14,3,0,4,2e-06,4e-06,3e-06,0.966667,0.966667,0.991667
41,1,15,2,2,4,1.317886,3.177699,0.928138,0.448962,0.264713,0.333944
41,1,15,1,0,4,0.000151,0.00022,0.000208,0.916327,0.730612,0.72449
41,1,15,3,0,4,2e-06,3e-06,2e-06,0.925,0.925,0.991667
41,1,15,4,2,4,3e-06,3e-06,3e-06,1.0,1.0,1.0
41,1,15,0,2,4,0.862982,1.192284,0.605756,0.215631,0.244444,0.396234
42,1,16,4,2,4,3e-06,2e-06,2e-06,1.0,1.0,1.0
42,1,16,3,0,4,3e-06,3e-06,2e-06,0.983333,0.983333,0.991667
42,1,16,2,2,4,0.801833,2.506205,1.020364,0.450916,0.282784,0.372283
42,1,16,1,0,4,0.000118,0.001027,0.001022,0.922449,0.765306,0.767347
42,1,16,0,2,4,1.66029,1.270607,0.448232,0.153672,0.196045,0.47081
43,1,17,4,2,4,3e-06,2e-06,2e-06,1.0,1.0,1.0
43,1,17,0,2,4,1.064975,1.440805,0.321956,0.211864,0.234087,0.526554
43,1,17,1,0,4,0.000381,0.000276,0.000281,0.932653,0.787755,0.793878
43,1,17,3,0,4,2e-06,2e-06,2e-06,0.991667,0.991667,0.991667
43,1,17,2,2,4,2.16316,1.753455,0.556036,0.398291,0.310256,0.443346
44,1,18,1,0,4,0.000723,0.000812,0.000749,0.944898,0.84898,0.846939
44,1,18,2,2,4,2.334748,2.072606,0.726601,0.371306,0.301099,0.399634
44,1,18,3,0,4,2e-06,3e-06,2e-06,0.916667,0.916667,1.0
44,1,18,4,2,4,2e-06,3e-06,4e-06,1.0,1.0,1.0
44,1,18,0,2,4,0.919333,0.996578,0.457702,0.218644,0.283051,0.49209
45,1,19,4,2,4,2e-06,2e-06,2e-06,1.0,1.0,1.0
45,1,19,1,0,4,0.000116,0.000657,0.000566,0.942857,0.855102,0.853061
45,1,19,3,0,4,3e-06,4e-06,3e-06,1.0,1.0,1.0
45,1,19,0,2,4,1.177235,1.143756,0.312946,0.180414,0.211111,0.49887
45,1,19,2,2,4,1.456023,2.273707,0.545356,0.394017,0.265568,0.45873
46,1,20,3,0,4,2e-06,2e-06,2e-06,0.983333,0.983333,1.0
46,1,20,0,2,4,0.910775,1.083859,0.314092,0.191149,0.229755,0.527872
